"TaskID","Description","DueDate","AddedBy","UserID","Submitted"
"1","2026-07-05","2026-07-05","Admin","1276968974","true"
"2","דגכ","2026-07-06","Admin","1276968974","true"
"3","2026-07-05","2026-07-05","Admin","1276968974","false"
"4","דגכ","2026-07-06","Admin","1276968974","false"
"5","2026-07-05","2026-07-05","Admin","1276968974","false"
"6","דגכ","2026-07-06","Admin","1276968974","false"
"7","2026-07-05","2026-07-05","Admin","1276968974","false"
"8","דגכ","2026-07-06","Admin","1276968974","false"
"9","עבודת הגשה בסדנא","2025-06-20","Admin","1276968974","false"
"10","עבודת הגשה בלינארית 2 מספר 4","2025-07-20","Admin","1276968974","false"
"11","עכג","2025-06-16","Admin","1276968974","false"
